language,id,country,organization,surname,status,date_feedback,is_disliked_by_me,reference_initiative,is_liked_by_me,first_name,feedback,login,publication,user_type,company_size,publication_status,publication_id,scope,governance_level,feedback_text_user_language,tr_number
fr,3498078,FRA,General Mills Holding France,,PUBLISHED,2024-11-18 21:52:40,False,Ares(2024)7742910,False,,"Bonjour, Nous sommes toujours dans l'incapacité de fournir les valeurs exactes car il nous manque des infos sur une partie de la transformation de notre fournisseur. Nous sommes prets a payer plus avec des valeurs par défaut vu nos volumes faibles plutot que de se battre avec notre fournisseur qui n'y comprend rien. Nous ne comprenons pas l'exemption sur la valeur du matériel plutot que sur le poids. En effet nous importons des ecrous et des vis pour nos usines valeur environ 300 euros mais pour un poids de 0.2kg. Quel interet de faire une déclaration MACF pour 0.2kg ? Sachant que mes vis de 200gr a 300 euros doivent moins polluer qu'un barre de fer de 300kg a 100 euros. Quid des intégrateurs expressistes ? DHL, Fedex, UPS qui font nos douanes imports sans nous prevenir, sans mandat et sans qu'on puisse récupérer la douane import pour pouvoir émettre nos rapports MACF.",,anonymous,company,large,closed,33195975,,,"Hello, we are still unable to provide the exact values because we lack information on part of the transformation of our supplier. We are pretty to pay more with default values because of our low volumes than fighting with our supplier who does not understand it. We do not understand the exemption on the value of plug-in material only on weight. We import ecrous and screws for our factories worth approximately EUR 300 but weighing 0.2 kg. What is the interest in making a CBAM declaration for 0.2 kg? Knowing that my screws of 200 g to EUR 300 have to pollute less than a iron bar of 300 kg to EUR 100. What about expressive integrators? DHL, Fedex, UPS who do our customs imports without preempting us, without a mandate and without being able to recover import customs to be able to issue our CBAM reports.",
es,3498073,ESP,Customs and Excise Department,,PUBLISHED,2024-11-18 14:03:54,False,Ares(2024)7742910,False,,"Article 16 Temporary failure of the CBAM registry 1. In the event of a temporary failure of the CBAM registry, CBAM declarants and applicants shall submit the information required to comply with their obligations in relation to CBAM obligations under Regulation (EU) 2023/956 by the means specified in the CBAM business continuity plan. 2. The Commission shall inform competent authorities on major unavailability of CBAM registry which will impact the availability levels defined in the Service Level Agreements referred to in Article 7. 3. The Commission shall inform the authorised CBAM declarants and operators on requirements, major updates and long-lasting unavailability of the CBAM registry in accordance with the CBAM business continuity plan Teniendo en cuenta posibles fallos temporales de la conexión con el registro, sería aconsejable disponer de una Réplica descargable por las autoridades aduaneras de los registrados, y así no se rechazarían o dejarían sin admitir declaraciones de aduanas por fallos en la conexión con del registro.",,anonymous,public_authority,large,closed,33195975,national,authority,"Article 16 Temporary failure of the CBAM registry 1. In the event of a temporary failure of the CBAM registry, CBAM declarants and applicants shall submit the information required to comply with their obligations in relation to CBAM obligations under Regulation (EU) 2023/956 by the means specified in the CBAM business continuity plan. 2. The Commission shall inform competent authorities on major unavailability of CBAM registration which will impact the availability levels defined in the Service Level Agreements referred to in Article 7. 3. The Commission shall inform the authorised CBAM declarants and operators on requirements, major updates and long-lasting unavailability of the CBAM registry in accordance with the CBAM business continuity plan Taking into account possible temporary failures of the connection to the register, it would be advisable to have a Reply that can be downloadable by the customs authorities of the registrants, and this would not be rejected or allowed for customs declarations due to failures in connection with the registry.",
en,3498032,GBR,CBAMBOO LTD,Sharp,PUBLISHED,2024-11-15 17:46:48,False,Ares(2024)7742910,False,Daniel,"- Item 4 in the recital section describes that the CBAM registry should be interoperable with existing customs systems so that customs authorities can verify CBAM formalities during customs clearance. What CBAM formalities will the customs authorities check at the point of customs clearance? Is it simply making sure that the importer is an authorised CBAM declarant? or, are there additional checks? - Article 3(1) mentions the database will contain data elements of CBAM verifiers. Will verifiers play a role in the Registry? Or, what data on verifiers will be stored in the database? - Article 5(g) describes the requirement that the Registry is interoperable with the Transitional Registry. Is this for the purpose of migrating existing records from the Transitional Registry? or, does the Commission foresee the need for declarants to work with both Registries simultaneously? - Article 8(6) describes the possibility of delegating access to persons acting on their behalf. How will delegated access practically work? What specific requirements must a person that acquired delegated access by a declarant need to have? - Article 9(1) says that the CBAM Declarants Portal will be the unique entry point to the CBAM Registry for declarants. Does this mean that programmatic access, for example via an API is not being considered? We believe this would reduce the administrative burden by reducing the number of manual steps a declarant has to perform. Is that planned or can the Commission consider incorporating this as a feature? - Article 10 describes the CBAM Operators Portal and the functionality to register the information regarding the operator, installations and the goods produced at the installation. However, it does not describe how this data will be accessed by declarants. Is there more information on this? How will Operators interact with the Operator Portal?",,withinfo,company,micro,closed,33195975,,,,
en,3498009,NLD,Verbrugge Customs BV,Croon,PUBLISHED,2024-11-15 09:28:46,False,Ares(2024)7742910,False,Xander,"Item 1 Currently its the importer or its indirect customs representative who adds information in the Cbam register about the operators and installations and their carbon exhaust. Suggestion would be made that operators and installations would need to add and update their own information in the Cbam administration where they receive a unique Cbam relation nr. This relation nr can be ventilated in onwards trading documents, f.e. invoices, where EU importers/Ind customs reps can use these for adding info in the Cbam register. Item 2 Same as above, operators and installations could add their carbon exhaust figures on their productions in the Cbam register already. Herewith importers and EU importers/Ind customs reps are able to re-use these data for filing the Cbam report, where they just add importation figures. Item 3 Would suggest for adding info into the Cbam report a simple excel upload would need to be used to prevent manual input at highest level. Item 4 Would suggest an indirect customs representative would get a different status for being liable and responsible for adding information in the Cbam register. A declarant receives its info from its business partners and customers and should not be held liable if the data is being reused in Cbam. Item 5 Currently when data is entered in the Cbam register it is not working very logical. When data is added in chronological entry, the view in the Cbam changes (and concept report) changes each time when information is being added. The Cbam program should hold the chronological entry of the importer or declarant. Item 6 Getting a download leads often to Cbam errors and prevent a user to be able to login for quite some days.",,withinfo,company,large,closed,33195975,,,,
sv,3498006,SWE,,,PUBLISHED,2024-11-15 08:28:54,False,Ares(2024)7742910,False,,"- Rapportering baseras på utdrag från Tullverkets statistik. Den som sitter med rapportingsansvar i företaget har inte några uppgifter om skeppningsreferensnumren utan måste då be en annan avdelning om dessa uppgifter. - Det finns inga uppgifter om artikel nummer , ordernummer eller dylikt för att identifiera vilka artiklar som CBAM berörs. Kommentarer ifyllda undermåliga som inte hjälper identifieringen. - Uppgifter finns på olika ställen. Faktura eller transportpapper. Det gör det tidsintesivt för att lokalisera vilka artiklar som var kodade för CBAM. - För dom artiklar som vårt företag berörs av som är KN 7318 blir våra volymer väldigt små. Skruvar och mutter. - För att enklare kunna visa leverantörer hur man jobbar skulle den informationen vara mer klar. Vi som importörer kan då skicka en länk, titta här. På så sätt hjälpa till att informera. - Fortfarande svårt att få leverantörer att återkoppla angående detta.",,anonymous,eu_citizen,,closed,33195975,,,"— Reporting is based on extracts from Swedish Customs’ statistics. The reporting officer in the company does not have any information on the ship reference numbers, but must ask another department for this information. — There is no information on Article number, order number or similar to identify which items the CBAM is concerned. Comments filled in substandard that do not help the identification. Data is available in different places. Invoice or transport paper; It does not make it time-consuming to locate which items were coded for the CBAM. — For sentencing articles by which our company is affected, which is CN 7318, our volumes are very small. Screws and nuts; — In order to make it easier to show providers how to work, this information would be more clear. We, as importers, can send a link here. In this way, help inform. — Still difficult to get suppliers to provide feedback on this.",
it,3497912,ITA,Stern Energy Spa,Olmo,PUBLISHED,2024-11-08 11:55:02,False,Ares(2024)7742910,False,Alessandro,"Gentile Commissione UE, visto che relativamente al CBAM le società dovranno essere autorizzate a fare le dichiarazioni e registrarsi nell'apposito Registro, perchè non utilizzare direttamente il numero IVA già esistente ( e tutti i dati che già potete recuperare dalle autorità nazionali fiscali) come base per il CBAM? In questo modo si eviterebbe una burocratizzazione eccessiva della procedure. Grazie",,withinfo,company,large,closed,33195975,,,"Dear Commission, given that, in relation to the CBAM, companies will have to be allowed to make declarations and register in the relevant register, because they do not use directly the already existing VAT number (and all the data that you can already retrieve from national tax authorities) as a basis for the CBAM? This would avoid excessive red tape. Thanks",
en,3497854,TUR,Ford Otosan,,PUBLISHED,2024-11-07 14:25:46,False,Ares(2024)7742910,False,,"Hello Dear Madam/Sir We are reaching you about our inquiry on CBAMs financial impact. We, as Ford Otosan, have 2 manufacture plants which circulating goods to feed the manufacture lines in Turkey and Romania. Since Turkey is not in European Union it considered as we are importing products from a 3rd country during our import operations to Craiova plant. We have racks in scope of regulation which named as CBAM goods. Please see below more details about mentioned racks; -These racks are using only for packaging material to carry the actual products in themselves from Turkey to Romania. -Mentioned racks also dont have any commercial value and manufactured in past 2-10 years ago. -We dont manufacture new racks, but we use what we already have. (no additional manufacturing for racks for at least for 2 years) What we have problem about, the legislation indicates that if the CBAM good imported from a 3rd country (in our case from Turkey plant to Romania plant) the importer will face certain amount of certificate cost in tonne basis. However; -Non of the mentioned racks are new-produced so none of them leading further CO2 emission. -Ford Otosan Romania/Turkey use exact same rack during in&out processes which means we dont produce new racks each time. We use racks as packaging material with the ones we already have. Ford Otosan believes the commission thought notice that such scenario might occurs, and they developed a solution for companies as Ford Otosan. The regulation indicates if the companies declared the packaging materials (in our case it is rack) as they will remain in EU borders temporarily, they wont face any certificate cost. We, as Ford Otosan, planned to implement this suggestion however we cant link the physical operation to an ERP tracking system. The reason is, if the importer decides to use Temporary Admission to declare the goods wont remain in EU permanently the importer must link the temporary imported goods and their return to each other in order to report/declare it to the custom authority. Our racks have some numbers on themselves, but it is completely random and not all of them have mentioned numbers and the reason for them is we already had produced the racks way before the regulation was published. In addition, our racks are on common usage which means all of Ford Otosan Romania's suppliers have racks in their inventory and using them as packaging material for each shipment. Ford Otosan, calculated approximately cost with the current volume, will face certificate cost and will face higher costs in coming years although Ford Otosan doesnt lead CO2 emission and using the CBAM goods temporarily in EU borders. Ford Otosan, aims to invest more capabilities, employ more people, expand the manufacture line in our Romania plant however it is likely the total budget will cut by some share to cover CBAM certificate cost. It seems as only solution for Ford Otosan, is to implement the Temporary Admission as it is in Turkey which is based on total sum quantity, not based on labelling the good or a number for each item which is the subject of temporary admission. We kindly ask your feedback upon this inquiry and implementation of solution as more convenient way for Ford Otosan Romania. Thank you.",,anonymous,business_association,large,closed,33195975,,,,
es,3497758,ESP,,,PUBLISHED,2024-11-05 10:58:54,False,Ares(2024)7742910,False,,"The delivery of the information from the suppliers to the importers is very difficult, in this first declaration with real data has been unsuccessful, none of them have sent their information in emissions. I believe that the registration should be done by the supplier and not by the importer and that they should be aware of their obligation to report.",,anonymous,eu_citizen,,closed,33195975,,,"The delivery of the information from the suppliers to the importers is very difficult, in this first declaration with real data have been unsuccessful, none of them having sent their information in emissions. I believe that the registration should be done by the supplier and not by the importer and that they should be awarded of their obligation to report.",
en,3497706,GBR,NAVIS INTERNATIONAL TRADE AND CONSULTING LTD,Palumbo,PUBLISHED,2024-11-02 07:51:37,False,Ares(2024)7742910,False,Davide,"The correct functioning of the CBAM Regulation is based on the assumption that each Undertaking responsible for the PoM (Placing on the EU Market) of the substances/materials/supplies is actually using the correct tariff code to clearly identify them. This can't be any further removed from the truth, as the common practice of most Undertakings is to use ""generic"" tariff codes (i.e. ""parts of..."") instead of the correct ones. DG Taxud and competent Authorities of the Member States should start looking into the SAD using generic Tariff Codes (i.e. ""Parts of Air-Conditioning"" - 8415900099) and it will be easily spotted that screws, washers, bolts made of iron, steel, cast iron and aluminum panels (in scope of the CBAM Regulation) are incorrectly placed on the Market and therefore not included in the CBAM quarterly reporting. I invite DG Taxud and local Member State Authorities to take these these actions: 1. Break down these Generic Tariff Codes into [DG Taxud]: - ""Parts of ..... made of iron, steel, aluminum"" [in scope of CBAM Regulation] - ""Other parts of ..... NOT made of iron, steel aluminum"" [NOT in scope of CBAM Regulation] 2. Check the imports from October the 1st 2023 of these Generic Tariff Codes (i.e. 8415900099). I suspect the findings will be very interesting and will have also implications related to Regulation (EU) 573/2024 (the F-GAS Regulation). Another relevant topic is the ""Manufacturer Information"". There is a lot of confusion in affected sectors, as the ""Manufacturer"" is very often confused with the ""Vendor"". And likewise, the ""Country of Origin"" (were the goods are actually made) is confused with the ""Country of Shipping"" (Country from where the goods are shipped). Without levelling the playing field by securing that all Undertakings comply with the Customs Code of the Union in first instance, which would lead then to the correct application of the CBAM (and other environmental Regulations), there will always be a commercial disadvantage (Carbon Credit cost) for the law abiding Undertakings. If this is not done during the transition phase, any subsequent development of the CBAM Regulation will be hindered by the incorrect Customs procedures (by not using the right Tariff codes, CBAM obligations are eluded) currently in place. Truth to be told, this should have been done before implementing the Regulation. With these business operating standards (incorrect Tariff Code, incorrect Manufacturer information), after the illegal trade of refrigerants caused by the F-GAS Regulation and its lack of controls in its second release (Regulation EU 517/2014), there will be the avoidance of CBAM Regulation by exploiting the lack of market survey by competent Authorities. History repeating? Most likely, if certain measures are not put in place. Davide",,withinfo,company,small,closed,33195975,,,,
en,3497693,FRA,,Sainct,PUBLISHED,2024-11-01 11:00:42,False,Ares(2024)7742910,False,Hervé,"Around chapter III, I believe the objective for data security are very important, and I am disappointed that the LOCATION of this data isn't considered. I definitely support a CBAM registry, and its potential backup, that be located in one or more European countries. Leaving the text as it is in the present draft doesn't address this point, opening the possibility to store significant and sensitive data ""in a cloud"" whose location isn't even defined. Without a geographical constraint it is almost obvious that lower-cost solutions will be retained; these solutions ALL are storing data outside Europe. I consider this a dangerous situation, both for European citizens and European companies whose details are put at risk.",,withinfo,eu_citizen,,closed,33195975,,,,
fi,3497684,FIN,,polittinen youtube vaikuttaja,PUBLISHED,2024-10-31 19:11:49,False,Ares(2024)7742910,False,Janne kananen,rekisterillä tulisi edistää järkevien ilmastotoimien tekoa the register should promote sensible climate action,,withinfo,eu_citizen,,closed,33195975,,,the register should promote sensible climate action,
