cause,cause_remapped,effect,effect_type,confidence,top_keyword_score,keywords,similarity_score,weight,full_answer
total emissions fall,declining greenhouse gas emissions,emissions cap,increase,0.6553725,0.6764,"[('emissions', 0.5399), ('cap', 0.4429), ('reduced', 0.3627), ('total', 0.1332), ('fall', 0.0911), ('cap reduced', 0.6589), ('emissions fall', 0.6473), ('reduced time', 0.3433), ('time total', 0.1445), ('fall', 0.0911), ('total emissions fall', 0.6764), ('cap', 0.4429), ('reduced time', 0.3433), ('total', 0.1332), ('fall', 0.0911)]",0.7569707036018372,1,this cap is reduced over time so that total emissions fall.
decreasing emissions,declining greenhouse gas emissions,EU climate policy,increase,0.45523253,0.8958,"[('emissions', 0.7347), ('decreasing', 0.5255), ('decreasing emissions', 0.8958), ('emissions', 0.7347), ('decreasing', 0.5255), ('decreasing emissions', 0.8958), ('emissions', 0.7347), ('decreasing', 0.5255)]",0.7819631099700928,1,"more specifically, the confederation of swedish enterprise considers the following key areas necessary to address when designing a cbam : e any truly successful european climate policy must ensure that decreasing emissions does not damage european competitiveness if we are to become role models for the rest of the world."
greenhouse gas emissions,declining greenhouse gas emissions,EU steel sector,decrease,0.5886092,0.8356,"[('emissions', 0.6865), ('greenhouse', 0.5823), ('gas', 0.3832), ('greenhouse gas', 0.7591), ('gas emissions', 0.6978), ('emissions', 0.6865), ('greenhouse', 0.5823), ('gas', 0.3832), ('greenhouse gas emissions', 0.8356), ('greenhouse gas', 0.7591), ('emissions', 0.6865), ('greenhouse', 0.5823), ('gas', 0.3832)]",0.776090145,-1,"the president made the case for europe ' s industrial potential, highlighting its current strengths : one quarter of global clean tech patents, top quality infrastructure, vibrant sectors such as hydrogen and electrolysers, and all while greenhouse gas emissions in the energy sector continue to decrease."
greenhouse gas emissions,declining greenhouse gas emissions,global CBAM adoption,decrease,0.3880037,0.8356,"[('emissions', 0.6865), ('greenhouse', 0.5823), ('gas', 0.3832), ('greenhouse gas', 0.7591), ('gas emissions', 0.6978), ('emissions', 0.6865), ('greenhouse', 0.5823), ('gas', 0.3832), ('greenhouse gas emissions', 0.8356), ('greenhouse gas', 0.7591), ('emissions', 0.6865), ('greenhouse', 0.5823), ('gas', 0.3832)]",0.7163549065589905,-1,"the president made the case for europe ' s industrial potential, highlighting its current strengths : one quarter of global clean tech patents, top quality infrastructure, vibrant sectors such as hydrogen and electrolysers, and all while greenhouse gas emissions in the energy sector continue to decrease."
impact global emissions,declining greenhouse gas emissions,global climate mitigation,effect,0.7623397,0.6564,"[('emissions', 0.5287), ('cbam', 0.4266), ('eu', 0.3449), ('isolation', 0.2597), ('limited', 0.1212), ('global emissions', 0.6362), ('cbam isolation', 0.482), ('eu', 0.3449), ('impact', 0.2628), ('limited', 0.1212), ('impact global emissions', 0.6564), ('cbam isolation limited', 0.4833), ('isolation limited impact', 0.4205), ('eu', 0.3449), ('limited', 0.1212)]",0.7674519419670105,0.5,"analysis also suggests that the eu ' s cbam, in isolation, will have a limited impact on global emissions."
greenhouse gas emissions,declining greenhouse gas emissions,high energy prices,decrease,0.1408222,0.8356,"[('emissions', 0.6865), ('greenhouse', 0.5823), ('gas', 0.3832), ('greenhouse gas', 0.7591), ('gas emissions', 0.6978), ('emissions', 0.6865), ('greenhouse', 0.5823), ('gas', 0.3832), ('greenhouse gas emissions', 0.8356), ('greenhouse gas', 0.7591), ('emissions', 0.6865), ('greenhouse', 0.5823), ('gas', 0.3832)]",0.7521752119064331,-1,"the president made the case for europe ' s industrial potential, highlighting its current strengths : one quarter of global clean tech patents, top quality infrastructure, vibrant sectors such as hydrogen and electrolysers, and all while greenhouse gas emissions in the energy sector continue to decrease."
greenhouse gas emissions,declining greenhouse gas emissions,hydrogen-based electrification,decrease,0.99273324,0.8356,"[('emissions', 0.6865), ('greenhouse', 0.5823), ('gas', 0.3832), ('greenhouse gas', 0.7591), ('gas emissions', 0.6978), ('emissions', 0.6865), ('greenhouse', 0.5823), ('gas', 0.3832), ('greenhouse gas emissions', 0.8356), ('greenhouse gas', 0.7591), ('emissions', 0.6865), ('greenhouse', 0.5823), ('gas', 0.3832)]",0.7546193599700928,-1,"the president made the case for europe ' s industrial potential, highlighting its current strengths : one quarter of global clean tech patents, top quality infrastructure, vibrant sectors such as hydrogen and electrolysers, and all while greenhouse gas emissions in the energy sector continue to decrease."
greenhouse gas emissions,declining greenhouse gas emissions,industrial decarbonisation,decrease,0.46547776,0.8356,"[('emissions', 0.6865), ('greenhouse', 0.5823), ('gas', 0.3832), ('greenhouse gas', 0.7591), ('gas emissions', 0.6978), ('emissions', 0.6865), ('greenhouse', 0.5823), ('gas', 0.3832), ('greenhouse gas emissions', 0.8356), ('greenhouse gas', 0.7591), ('emissions', 0.6865), ('greenhouse', 0.5823), ('gas', 0.3832)]",0.7468144297599792,-1,"the president made the case for europe ' s industrial potential, highlighting its current strengths : one quarter of global clean tech patents, top quality infrastructure, vibrant sectors such as hydrogen and electrolysers, and all while greenhouse gas emissions in the energy sector continue to decrease."
eu producers fertilizers,declining greenhouse gas emissions,introduction of the EU CBAM,effect,0.15910405,0.8598,"[('fertilizers', 0.5926), ('eu', 0.3954), ('market', 0.3272), ('non', 0.1723), ('attractive', 0.0486), ('producers fertilizers', 0.6542), ('eu market', 0.5865), ('eu producers', 0.5601), ('non eu', 0.4687), ('attractive non', 0.156), ('eu producers fertilizers', 0.8598), ('eu market attractive', 0.5872), ('non eu', 0.4687), ('producers', 0.2215), ('attractive non', 0.156)]",0.8007447123527527,0.5,"eu market is attractive for non eu producers of fertilizers, hence introduction of cbam will encourage 3rd country producers to limit their own emissions."
eu producers fertilizers,declining greenhouse gas emissions,introduction of the EU CBAM,effect,0.14829026,0.8598,"[('fertilizers', 0.5926), ('eu', 0.3954), ('market', 0.3272), ('non', 0.1723), ('attractive', 0.0486), ('producers fertilizers', 0.6542), ('eu market', 0.5865), ('eu producers', 0.5601), ('non eu', 0.4687), ('attractive non', 0.156), ('eu producers fertilizers', 0.8598), ('eu market attractive', 0.5872), ('non eu', 0.4687), ('producers', 0.2215), ('attractive non', 0.156)]",0.8007447123527527,0.5,"eu market is attractive for non eu producers of fertilizers, hence introduction of cbam will encourage 3rd country producers to limit their own emissions."
optimisation levers,declining greenhouse gas emissions,product carbon footprint,increase,0.82191247,0.8943,"[('levers', 0.6971), ('optimisation', 0.5005), ('optimisation levers', 0.8943), ('levers', 0.6971), ('optimisation', 0.5005), ('optimisation levers', 0.8943), ('levers', 0.6971), ('optimisation', 0.5005)]",0.771693766,1,"in one year, we decrease our carbon footprint by 25 % thanks to the optimisation of all levers (clinker selection, logistics, cement recipes and packaging)."
optimisation levers,declining greenhouse gas emissions,product carbon footprint,decrease,0.49095544,0.8943,"[('levers', 0.6971), ('optimisation', 0.5005), ('optimisation levers', 0.8943), ('levers', 0.6971), ('optimisation', 0.5005), ('optimisation levers', 0.8943), ('levers', 0.6971), ('optimisation', 0.5005)]",0.7616124749183655,-1,"in one year, we decrease our carbon footprint by 25 % thanks to the optimisation of all levers (clinker selection, logistics, cement recipes and packaging)."
optimisation levers,declining greenhouse gas emissions,product carbon footprint,decrease,0.25134304,0.8943,"[('levers', 0.6971), ('optimisation', 0.5005), ('optimisation levers', 0.8943), ('levers', 0.6971), ('optimisation', 0.5005), ('optimisation levers', 0.8943), ('levers', 0.6971), ('optimisation', 0.5005)]",0.7616124749183655,-1,"in one year, we decrease our carbon footprint by 25 % thanks to the optimisation of all levers (clinker selection, logistics, cement recipes and packaging)."
reduce greenhouse gas,declining greenhouse gas emissions,renewable energy capacity,decrease,1,0.9332,"[('emissions', 0.6443), ('greenhouse', 0.5602), ('reduce', 0.3542), ('gas', 0.2944), ('reduce greenhouse', 0.7899), ('greenhouse gas', 0.769), ('emissions', 0.6443), ('reduce', 0.3542), ('gas', 0.2944), ('reduce greenhouse gas', 0.9332), ('emissions', 0.6443), ('greenhouse', 0.5602), ('reduce', 0.3542), ('gas', 0.2944)]",0.7471780180931091,-1,"by facilitating the purchase and sale of recs, recs incentivize the production of clean energy, reduce greenhouse gas emissions, and promote the growth of renewable energy markets."
reduce greenhouse gas,declining greenhouse gas emissions,renewable energy capacity,decrease,0.97403854,0.9332,"[('emissions', 0.6443), ('greenhouse', 0.5602), ('reduce', 0.3542), ('gas', 0.2944), ('reduce greenhouse', 0.7899), ('greenhouse gas', 0.769), ('emissions', 0.6443), ('reduce', 0.3542), ('gas', 0.2944), ('reduce greenhouse gas', 0.9332), ('emissions', 0.6443), ('greenhouse', 0.5602), ('reduce', 0.3542), ('gas', 0.2944)]",0.7657399773597717,-1,"by facilitating the purchase and sale of recs, recs incentivize the production of clean energy, reduce greenhouse gas emissions, and promote the growth of renewable energy markets."
reduce greenhouse gas,declining greenhouse gas emissions,renewable energy certificates,decrease,0.9966582,0.9332,"[('emissions', 0.6443), ('greenhouse', 0.5602), ('reduce', 0.3542), ('gas', 0.2944), ('reduce greenhouse', 0.7899), ('greenhouse gas', 0.769), ('emissions', 0.6443), ('reduce', 0.3542), ('gas', 0.2944), ('reduce greenhouse gas', 0.9332), ('emissions', 0.6443), ('greenhouse', 0.5602), ('reduce', 0.3542), ('gas', 0.2944)]",0.762905478,-1,"by facilitating the purchase and sale of recs, recs incentivize the production of clean energy, reduce greenhouse gas emissions, and promote the growth of renewable energy markets."
reduce greenhouse gas,declining greenhouse gas emissions,renewable energy certificates,decrease,0.98877305,0.9332,"[('emissions', 0.6443), ('greenhouse', 0.5602), ('reduce', 0.3542), ('gas', 0.2944), ('reduce greenhouse', 0.7899), ('greenhouse gas', 0.769), ('emissions', 0.6443), ('reduce', 0.3542), ('gas', 0.2944), ('reduce greenhouse gas', 0.9332), ('emissions', 0.6443), ('greenhouse', 0.5602), ('reduce', 0.3542), ('gas', 0.2944)]",0.7622970938682556,-1,"by facilitating the purchase and sale of recs, recs incentivize the production of clean energy, reduce greenhouse gas emissions, and promote the growth of renewable energy markets."
declining res tariffs,declining RES tariffs,renewable based electrification,decrease,0.39733687,1,"[('tariffs', 0.6798), ('res', 0.4556), ('declining', 0.4346), ('res tariffs', 0.8862), ('declining res', 0.718), ('tariffs', 0.6798), ('res', 0.4556), ('declining', 0.4346), ('declining res tariffs', 1.0), ('declining res', 0.718), ('tariffs', 0.6798), ('res', 0.4556), ('declining', 0.4346)]",0.7576414346694946,-1,"with declining res tariffs, this shift"
deforestation free trade,deforestation free trade (EUDR),supply chain traceability,decrease,0.25851187,0.9196,"[('deforestation', 0.7672), ('trade', 0.185), ('shift', 0.1565), ('free', 0.0946), ('deforestation free', 0.7982), ('shift deforestation', 0.7825), ('free trade', 0.4582), ('shift', 0.1565), ('free', 0.0946), ('deforestation free trade', 0.9196), ('shift deforestation', 0.7825), ('trade', 0.185), ('shift', 0.1565), ('free', 0.0946)]",0.7726497054100037,-1,"the shift toward deforestation free trade will impact pricing, sourcing strategies, and supply chain structures, making early preparation essential."
weak demand,demand side market barriers,global supply chain complexity,decrease,0.23857385,0.9155,"[('demand', 0.7419), ('weak', 0.5315), ('weak demand', 0.9155), ('demand', 0.7419), ('weak', 0.5315), ('weak demand', 0.9155), ('demand', 0.7419), ('weak', 0.5315)]",0.7319714426994324,-1,"the automotive sector continues to struggle with weak demand, particularly for electric vehicles, which is affecting the entire supply chain microchips, engines, batteries, electric chargers, and so on."
weak demand,demand-side market barriers,circular supply chains,decrease,0.81958556,0.9155,"[('demand', 0.7419), ('weak', 0.5315), ('weak demand', 0.9155), ('demand', 0.7419), ('weak', 0.5315), ('weak demand', 0.9155), ('demand', 0.7419), ('weak', 0.5315)]",0.7254132628440857,-1,"the automotive sector continues to struggle with weak demand, particularly for electric vehicles, which is affecting the entire supply chain microchips, engines, batteries, electric chargers, and so on."
declining demand market,demand-side market barriers,declining greenhouse gas emissions,increase,0.28860813,0.8996,"[('demand', 0.7189), ('market', 0.5708), ('declining', 0.5483), ('participants', 0.2799), ('declining demand', 0.8769), ('demand market', 0.785), ('market', 0.5708), ('declining', 0.5483), ('participants', 0.2799), ('declining demand market', 0.8996), ('demand', 0.7189), ('market participants', 0.6995), ('declining', 0.5483), ('participants', 0.2799)]",0.72980082,1,the main reason for the continuous price decrease in the eu ets 1 since february 2023 is the declining demand from market participants against the backdrop of the gas
declining demand market,demand-side market barriers,declining greenhouse gas emissions,decrease,0.14721283,0.8996,"[('demand', 0.7189), ('market', 0.5708), ('declining', 0.5483), ('participants', 0.2799), ('declining demand', 0.8769), ('demand market', 0.785), ('market', 0.5708), ('declining', 0.5483), ('participants', 0.2799), ('declining demand market', 0.8996), ('demand', 0.7189), ('market participants', 0.6995), ('declining', 0.5483), ('participants', 0.2799)]",0.7303736209869385,-1,the main reason for the continuous price decrease in the eu ets 1 since february 2023 is the declining demand from market participants against the backdrop of the gas
declining demand market,demand-side market barriers,EU ETS reforms,decrease,0.98155147,0.8996,"[('demand', 0.7189), ('market', 0.5708), ('declining', 0.5483), ('participants', 0.2799), ('declining demand', 0.8769), ('demand market', 0.785), ('market', 0.5708), ('declining', 0.5483), ('participants', 0.2799), ('declining demand market', 0.8996), ('demand', 0.7189), ('market participants', 0.6995), ('declining', 0.5483), ('participants', 0.2799)]",0.8027333617210388,-1,the main reason for the continuous price decrease in the eu ets 1 since february 2023 is the declining demand from market participants against the backdrop of the gas
countries export revenues,developing country econonmic vulnerability,CBAM's negative impact on developing countries,effect,0.32507914,0.7993,"[('revenues', 0.44), ('export', 0.4375), ('countries', 0.3043), ('reduction', 0.2525), ('developing', 0.2338), ('countries export', 0.6903), ('export revenues', 0.6846), ('revenues', 0.44), ('drastic reduction', 0.3395), ('developing', 0.2338), ('countries export revenues', 0.7993), ('reduction developing countries', 0.6816), ('revenues', 0.44), ('drastic reduction', 0.3395), ('developing', 0.2338)]",0.8040396571159363,0.5,"its implementation could result in a drastic reduction in developing countries ' export revenues without necessarily leading to increased sustainability objectives in their national plans (ameli et al., 2021)."
increased competition,difficult investment climate,digital technology uptake,decrease,0.33841795,0.8591,"[('competition', 0.6546), ('increased', 0.4321), ('increased competition', 0.8591), ('competition', 0.6546), ('increased', 0.4321), ('increased competition', 0.8591), ('competition', 0.6546), ('increased', 0.4321)]",0.7620740532875061,-1,"engineering industries ireland budget submission 2024 engineering a better future contents executive summary summary of measures for budget 2025 measures for budget 2025 competitiveness innovation 10 sustainability 13 people 15 regulation 17 engineering industries ireland strategy 2022-2025 board members of engineering industries ireland about ibec 20 21 19 engineering industries ireland budget submission 2024 engineering a better future executive summary lreland ' s engineering business sectors are navigating a highly uncertain and volatile environment, characterized by increased competition for technology investments, declining trade openness, and rising geopolitical risks impacting global supply chains, energy, and commodity markets."
increased competition,difficult investment climate,digital technology uptake,effect,0.60919356,0.8591,"[('competition', 0.6546), ('increased', 0.4321), ('increased competition', 0.8591), ('competition', 0.6546), ('increased', 0.4321), ('increased competition', 0.8591), ('competition', 0.6546), ('increased', 0.4321)]",0.740712583,0.5,"engineering industries ireland budget submission 2024 engineering a better future contents executive summary summary of measures for budget 2025 measures for budget 2025 competitiveness innovation 10 sustainability 13 people 15 regulation 17 engineering industries ireland strategy 2022-2025 board members of engineering industries ireland about ibec 20 21 19 engineering industries ireland budget submission 2024 engineering a better future executive summary lreland ' s engineering business sectors are navigating a highly uncertain and volatile environment, characterized by increased competition for technology investments, declining trade openness, and rising geopolitical risks impacting global supply chains, energy, and commodity markets."
short positions investment,difficult investment climate,macroeconomic conditions,decrease,0.18030553,0.7807,"[('investment', 0.5672), ('funds', 0.5184), ('short', 0.34), ('increasingly', 0.2809), ('positions', 0.1842), ('investment funds', 0.7141), ('positions investment', 0.5677), ('short positions', 0.3982), ('short', 0.34), ('increasingly', 0.2809), ('short positions investment', 0.7807), ('positions investment funds', 0.6956), ('funds', 0.5184), ('short', 0.34), ('increasingly', 0.2809)]",0.719167948,-1,this was exacerbated by the increasingly short positions of investment funds.
short positions investment,difficult investment climate,macroeconomic conditions,decrease,0.18030553,0.7807,"[('investment', 0.5672), ('funds', 0.5184), ('short', 0.34), ('increasingly', 0.2809), ('positions', 0.1842), ('investment funds', 0.7141), ('positions investment', 0.5677), ('short positions', 0.3982), ('short', 0.34), ('increasingly', 0.2809), ('short positions investment', 0.7807), ('positions investment funds', 0.6956), ('funds', 0.5184), ('short', 0.34), ('increasingly', 0.2809)]",0.719167948,-1,this was exacerbated by the increasingly short positions of investment funds.
short positions investment,difficult investment climate,macroeconomic conditions,decrease,0.18030553,0.7807,"[('investment', 0.5672), ('funds', 0.5184), ('short', 0.34), ('increasingly', 0.2809), ('positions', 0.1842), ('investment funds', 0.7141), ('positions investment', 0.5677), ('short positions', 0.3982), ('short', 0.34), ('increasingly', 0.2809), ('short positions investment', 0.7807), ('positions investment funds', 0.6956), ('funds', 0.5184), ('short', 0.34), ('increasingly', 0.2809)]",0.719167948,-1,this was exacerbated by the increasingly short positions of investment funds.
short positions investment,difficult investment climate,macroeconomic conditions,decrease,0.18030553,0.7807,"[('investment', 0.5672), ('funds', 0.5184), ('short', 0.34), ('increasingly', 0.2809), ('positions', 0.1842), ('investment funds', 0.7141), ('positions investment', 0.5677), ('short positions', 0.3982), ('short', 0.34), ('increasingly', 0.2809), ('short positions investment', 0.7807), ('positions investment funds', 0.6956), ('funds', 0.5184), ('short', 0.34), ('increasingly', 0.2809)]",0.719167948,-1,this was exacerbated by the increasingly short positions of investment funds.
transparency blockchain technology,digital data exchange,blockchain technology,increase,0.837177,0.7555,"[('blockchain', 0.5482), ('transparency', 0.4141), ('digital', 0.3483), ('ensuring', 0.2234), ('possible', 0.0732), ('transparency blockchain', 0.706), ('digital wallet', 0.5818), ('money', 0.2249), ('ensuring', 0.2234), ('possible', 0.0732), ('transparency blockchain technology', 0.7555), ('digital wallet', 0.5818), ('security money possible', 0.4947), ('ensuring', 0.2234), ('possible', 0.0732)]",0.7608725428581238,1,global green energy network leverage the transparency of blockchain technology for ensuring the security of your money as much as possible with the digital wallet system.
digital data exchange,digital data exchange,digital product passport,increase,0.6830513,0.9153,"[('digital', 0.563), ('exchange', 0.4774), ('data', 0.4217), ('potential', 0.239), ('data exchange', 0.8163), ('digital', 0.563), ('exchange', 0.4774), ('data', 0.4217), ('potential', 0.239), ('digital data exchange', 0.9153), ('digital', 0.563), ('exchange', 0.4774), ('data', 0.4217), ('potential', 0.239)]",0.7507235407829285,1,digital data exchange potential.
comparability disclosed information,digital data exchange,ecodesign requirements,effect,0.43967888,0.6606,"[('information', 0.4064), ('undermining', 0.3603), ('requirements', 0.355), ('comparability', 0.3115), ('acts', 0.2566), ('disclosed information', 0.5599), ('legal acts', 0.4771), ('reduce comparability', 0.3701), ('requirements', 0.355), ('undermining key', 0.3283), ('comparability disclosed information', 0.6606), ('objectives legal acts', 0.5528), ('requirements considerably reduce', 0.4546), ('reduce comparability', 0.3701), ('undermining key', 0.3283)]",0.781430721,0.5,diverging interpretations of the legal requirements considerably reduce the comparability of disclosed information thereby undermining one of the key objectives of the legal acts.
comparability disclosed information,digital data exchange,ecodesign requirements,effect,0.43967888,0.6606,"[('information', 0.4064), ('undermining', 0.3603), ('requirements', 0.355), ('comparability', 0.3115), ('acts', 0.2566), ('disclosed information', 0.5599), ('legal acts', 0.4771), ('reduce comparability', 0.3701), ('requirements', 0.355), ('undermining key', 0.3283), ('comparability disclosed information', 0.6606), ('objectives legal acts', 0.5528), ('requirements considerably reduce', 0.4546), ('reduce comparability', 0.3701), ('undermining key', 0.3283)]",0.781430721,0.5,diverging interpretations of the legal requirements considerably reduce the comparability of disclosed information thereby undermining one of the key objectives of the legal acts.
diverging interpretations,digital data exchange,poor alignment of reporting requirements with sustainability performance,decrease,0.18911745,1,"[('diverging', 0.6833), ('interpretations', 0.6771), ('diverging interpretations', 1.0), ('diverging', 0.6833), ('interpretations', 0.6771), ('diverging interpretations', 1.0), ('diverging', 0.6833), ('interpretations', 0.6771)]",0.7962120175361633,-1,diverging interpretations of the legal requirements considerably reduce the comparability of disclosed information thereby undermining one of the key objectives of the legal acts.
diverging interpretations,digital data exchange,poor alignment of reporting requirements with sustainability performance,decrease,0.18911745,1,"[('diverging', 0.6833), ('interpretations', 0.6771), ('diverging interpretations', 1.0), ('diverging', 0.6833), ('interpretations', 0.6771), ('diverging interpretations', 1.0), ('diverging', 0.6833), ('interpretations', 0.6771)]",0.7962120175361633,-1,diverging interpretations of the legal requirements considerably reduce the comparability of disclosed information thereby undermining one of the key objectives of the legal acts.
interpretations legal requirements,digital data exchange,poor alignment of reporting requirements with sustainability performance,increase,0.49840793,0.8925,"[('requirements', 0.4821), ('legal', 0.4409), ('interpretations', 0.3722), ('diverging', 0.1004), ('legal requirements', 0.7807), ('interpretations legal', 0.6551), ('requirements', 0.4821), ('legal', 0.4409), ('diverging interpretations', 0.3735), ('interpretations legal requirements', 0.8925), ('diverging interpretations legal', 0.6728), ('requirements', 0.4821), ('legal', 0.4409), ('diverging', 0.1004)]",0.7999817132949829,1,diverging interpretations of the legal requirements considerably reduce the comparability of disclosed information thereby undermining one of the key objectives of the legal acts.
interpretations legal requirements,digital data exchange,poor alignment of reporting requirements with sustainability performance,increase,0.49840793,0.8925,"[('requirements', 0.4821), ('legal', 0.4409), ('interpretations', 0.3722), ('diverging', 0.1004), ('legal requirements', 0.7807), ('interpretations legal', 0.6551), ('requirements', 0.4821), ('legal', 0.4409), ('diverging interpretations', 0.3735), ('interpretations legal requirements', 0.8925), ('diverging interpretations legal', 0.6728), ('requirements', 0.4821), ('legal', 0.4409), ('diverging', 0.1004)]",0.7999817132949829,1,diverging interpretations of the legal requirements considerably reduce the comparability of disclosed information thereby undermining one of the key objectives of the legal acts.
strengthening connectivity,digital product passport,digital technology uptake,decrease,0.21781291,0.89,"[('connectivity', 0.7089), ('strengthening', 0.5614), ('strengthening connectivity', 0.89), ('connectivity', 0.7089), ('strengthening', 0.5614), ('strengthening connectivity', 0.89), ('connectivity', 0.7089), ('strengthening', 0.5614)]",0.6314573287963867,-1,3 strengthening connectivity 4.
eliminating n2o emissions,digital technology uptake,declining greenhouse gas emissions,effect,0.92519826,0.7443,"[('emissions', 0.4753), ('n2o', 0.3887), ('process', 0.1504), ('practically', 0.0883), ('limits', 0.0866), ('emissions ammonia', 0.6687), ('eliminating n2o', 0.5676), ('co2 process', 0.4952), ('practically eliminating', 0.2597), ('technological limits', 0.2452), ('eliminating n2o emissions', 0.7443), ('co2 process', 0.4952), ('ammonia', 0.4687), ('approaching technological', 0.1981), ('limits', 0.0866)]",0.784207821,0.5,"eu fertilizer producers have already made significant contribution to lowering their greenhouse gas emissions, by practically eliminating n2o emissions and approaching technological limits for co2 process emissions from ammonia."
eu fertilizer producers,digital technology uptake,declining greenhouse gas emissions,decrease,0.90189284,1,"[('fertilizer', 0.6788), ('eu', 0.4453), ('producers', 0.4214), ('eu fertilizer', 0.896), ('fertilizer producers', 0.8238), ('fertilizer', 0.6788), ('eu', 0.4453), ('producers', 0.4214), ('eu fertilizer producers', 1.0), ('fertilizer producers', 0.8238), ('fertilizer', 0.6788), ('eu', 0.4453), ('producers', 0.4214)]",0.7938593626022339,-1,"eu fertilizer producers have already made significant contribution to lowering their greenhouse gas emissions, by practically eliminating n2o emissions and approaching technological limits for co2 process emissions from ammonia."
electrified digital future,digitalization,availability of critical raw materials,increase,0.34063968,0.6944,"[('digital', 0.4402), ('electrified', 0.4051), ('global', 0.3953), ('challenges', 0.3456), ('shift', 0.2339), ('digital future', 0.5981), ('business challenges', 0.5704), ('essential global', 0.4329), ('electrified', 0.4051), ('shift', 0.2339), ('electrified digital future', 0.6944), ('challenges essential global', 0.6122), ('business', 0.4222), ('shift', 0.2339), ('essential', 0.1876)]",0.7941329479217529,1,""" business challenges the essential global shift to an electrified and digital future has placed unprecedented demand for critical minerals used in the production of a vast array of products, including solar panels, consumer electronics, and electric vehicles (ev)."
digitalisation,digitalization,digital technology uptake,increase,0.9861303,1,"[('digitalisation', 1.0), ('digitalisation', 1.0), ('digitalisation', 1.0)]",0.6452294588088989,1,digitalisation 4.
digitalisation,digitalization,digital technology uptake,increase,1,1,"[('digitalisation', 1.0), ('digitalisation', 1.0), ('digitalisation', 1.0)]",0.6734545826911926,1,digitalisation 4.
digitalisation,digitalization,digital technology uptake,effect,0.3898132,1,"[('digitalisation', 1.0), ('digitalisation', 1.0), ('digitalisation', 1.0)]",0.6763506531715393,0.5,digitalisation 4.
plastic waste global,digitalization,recycling technology,increase,0.31927517,0.7378,"[('recycling', 0.6055), ('ceo', 0.2579), ('finboot', 0.2467), ('crdc', 0.2246), ('strides', 0.0059), ('plastic waste', 0.6566), ('finboot initiatives', 0.3832), ('crdc second', 0.2085), ('interview speaking', 0.1198), ('founded carlos', 0.0356), ('plastic waste global', 0.7378), ('finboot initiatives', 0.3832), ('design collaboration crdc', 0.3006), ('interview speaking carlos', 0.1099), ('method prevent', 0.0396)]",0.7135931849479675,1,"carlos reveals that they have partnered with sabic for a 20 kt facility in the netherlands, set? welcome to the second interview in finboot ' s "" initiatives creating value from plastic waste in a global landscape "" series. as a company committed to promoting sustainability and digital transformation, we invited a few selected companies that are making significant strides in this area to talk about their projects and share insights. in our first interview, we had the pleasure of speaking with donald thomson, ceo of the center for regenerative design and collaboration (crdc). in this second interview, we will be speaking with carlos monreal, founder and ceo of plastic energy. join us as we delve deeper into the efforts of plastic energy to tackle the issue of plastic waste and create value from it. plastic waste is a global problem that has far reaching environmental impacts, and plastic energy is a company that aims to address this issue. founded by carlos monreal more than a decade ago, the company has been developing its unique tac process for plastic waste. our tac process is a chemical recycling method that can prevent plastic waste from going to landfill or incineration, and its goal is to reduce pollution and the impacts of plastic waste, the executive explains. according to monreal, the industry faces significant challenges in collecting plastic waste, particularly in nations outside of europe. lack of collection and the need for extended producer responsibility (epr) schemes and clarity on chemical recycling policy are some of the industry ' s challenges. in terms of the supply chain, demand for recycled content is higher than what can be supplied, which is why chemical recycling is needed, he clarifies. in order to improve the collection and sorting of plastic waste for its chemical recycling process, they work with governments, local authorities, and various stakeholders in the plastics value chain"
impact employment europe,digitalization,the cost of carbon,effect,0.49143013,0.9009,"[('employment', 0.5219), ('europe', 0.483), ('impact', 0.2104), ('significant', 0.1039), ('employment europe', 0.8443), ('impact employment', 0.625), ('employment', 0.5219), ('europe', 0.483), ('significant impact', 0.3031), ('impact employment europe', 0.9009), ('employment', 0.5219), ('europe', 0.483), ('impact', 0.2104), ('significant', 0.1039)]",0.71895647,0.5,"however, it is clear that these technologies and innovations will result in a high cost, which could have a significant impact on employment in europe if they are not properly monitored and accompanied."
rapid pace change,disruption due to the green transition,EU steel sector,decrease,0.193511,0.8128,"[('pace', 0.5667), ('rapid', 0.4958), ('change', 0.3839), ('pace change', 0.6992), ('rapid pace', 0.683), ('pace', 0.5667), ('rapid', 0.4958), ('change', 0.3839), ('rapid pace change', 0.8128), ('rapid pace', 0.683), ('pace', 0.5667), ('rapid', 0.4958), ('change', 0.3839)]",0.6902040839195251,-1,"in response to the sector ' s rapid pace of change, increasing concerns, and the perception that the industry needed to speak with a single voice, rerollers have decided to formalize their association as the european steel processors association (leaving room for future expansions, beyond rerollers, to other processing segments)."
population growth,disruption due to the green transition,increasing demand for steel,decrease,0.3336553,0.7452,"[('growth', 0.686), ('population', 0.5034), ('population growth', 0.7452), ('growth', 0.686), ('population', 0.5034), ('population growth', 0.7452), ('growth', 0.686), ('population', 0.5034)]",0.7875857949256897,-1,"the study sought to provide a comprehensive view of the industry ' s future, driven by increasing demand for steel in infrastructure supporting the green transition, mobility, urbanization, and population growth."
