cause,cause_remapped,fcm_cause_remapped,effect,fcm_effect_remapped,effect_type,confidence,top_keyword_score,keywords,similarity_score,weight,full_answer,direction,net_effect
governance meeting temperature,global climate ambition,global climate ambition,climate governance,climate governance,effect,0.84732705,0.7239,"[('governance', 0.4916), ('innovations', 0.3749), ('temperature', 0.3694), ('disruptive', 0.2806), ('paris', 0.2164), ('temperature objectives', 0.5349), ('governance', 0.4916), ('disruptive innovations', 0.4731), ('paris agreement', 0.3903), ('require', 0.0131), ('governance meeting temperature', 0.7239), ('disruptive innovations', 0.4731), ('paris', 0.2164), ('objectives', 0.1858), ('require', 0.0131)]",0.7520920634269714,0.5,climate governance meeting the temperature objectives under the paris agreement will require disruptive system innovations in all sectors of the global economy.,0,0
governance meeting temperature,global climate ambition,global climate ambition,climate governance,climate governance,increase,0.9719325,0.7239,"[('governance', 0.4916), ('innovations', 0.3749), ('temperature', 0.3694), ('disruptive', 0.2806), ('paris', 0.2164), ('temperature objectives', 0.5349), ('governance', 0.4916), ('disruptive innovations', 0.4731), ('paris agreement', 0.3903), ('require', 0.0131), ('governance meeting temperature', 0.7239), ('disruptive innovations', 0.4731), ('paris', 0.2164), ('objectives', 0.1858), ('require', 0.0131)]",0.7769007682800293,1,climate governance meeting the temperature objectives under the paris agreement will require disruptive system innovations in all sectors of the global economy.,1,0.9719324707984924
accelerating,macroeconomic conditions,macroeconomic conditions,climate governance,climate governance,effect,0.14576253,0.9068,"[('accelerating', 0.9068), ('accelerating', 0.9068), ('accelerating', 0.9068)]",0.7228626012802124,0.5,"the current macroeconomic environment is accelerating rather than slowing regulatory change, while at the same time creating a short term window where the cost of action is lower.",0,0
emissions displaced eu,resource shuffling,resource shuffling,climate governance,climate governance,decrease,0.26173106,0.6533,"[('climate', 0.4273), ('eu', 0.4033), ('imports', 0.3403), ('displaced', 0.2127), ('looser', 0.178), ('countries carbon', 0.5831), ('eu jurisdictions', 0.4948), ('pricing regimes', 0.3984), ('competitors meaning', 0.2511), ('displaced', 0.2127), ('emissions displaced eu', 0.6533), ('jurisdictions looser climate', 0.5812), ('imports countries', 0.5061), ('regimes undercut', 0.3324), ('competitors meaning', 0.2511)]",0.7605377435684204,-1,"this is the danger that imports from countries without carbon pricing regimes undercut their european competitors, meaning that production, and the resulting carbon emissions, are displaced from the eu to jurisdictions with looser climate regimes.",-1,0.2617310583591461
governing exports eu,,CBAM coverage of exports,climate governance,climate governance,decrease,0.115044914,0.8547,"[('exports', 0.6892), ('eu', 0.5165), ('rules', 0.3143), ('governing', 0.2242), ('new', 0.1607), ('exports eu', 0.8249), ('governing exports', 0.7336), ('eu', 0.5165), ('new rules', 0.3861), ('governing', 0.2242), ('governing exports eu', 0.8547), ('rules governing exports', 0.833), ('eu', 0.5165), ('new rules', 0.3861), ('governing', 0.2242)]",0.7320373058319092,-1,the bank explained the european green deal and the carbon border adjustment mechanism (cbam) to the sectors and institutionsespecially smesthat will be affected by the new rules governing exports to the eu.,-1,0.11504491418600082
carbon abatement contract,carbon abatement contracts,carbon abatement contracts,climate regulation,climate regulation,decrease,0.23907275,0.7561,"[('carbon', 0.447), ('exit', 0.4312), ('abatement', 0.4256), ('contract', 0.3732), ('window', 0.2514), ('carbon abatement', 0.6172), ('abatement contract', 0.5743), ('contract exit', 0.5236), ('exit window', 0.4519), ('contract', 0.3732), ('carbon abatement contract', 0.7561), ('abatement contract exit', 0.6697), ('exit window', 0.4519), ('abatement', 0.4256), ('contract', 0.3732)]",0.7509050965309143,-1,"15 the details from down under australia & new zealand australia : compliance entity behaviour and the safeguard mechanism how will the australian market respond to the upcoming surrender period and what will happen to the accu prices ? what effect will the carbon abatement contract exit window have on prices as well as supply dynamics ? new zealand : under the new government how is the emissions trading scheme and the emissions reduction plan 2 going to address longer term issues in the ets and broader climate policy ? what are some of the key structural issues that need addressing to stabilise the market, what role for example will forestry play ? moderator lewis stevens, senior carbon market expert, icap panellists ollie batelier belton, managing director, carbon forest services raphael wood, principal at market advisory group, aurecon 10.",-1,0.2390727549791336
diverse technology mix,diverse low-carbon technology mix,diverse low-carbon technology mix,climate regulation,climate regulation,increase,0.98905635,0.9655,"[('technology', 0.5452), ('diverse', 0.5327), ('mix', 0.3388), ('diverse technology', 0.8959), ('technology mix', 0.8629), ('technology', 0.5452), ('diverse', 0.5327), ('mix', 0.3388), ('diverse technology mix', 0.9655), ('technology mix', 0.8629), ('technology', 0.5452), ('diverse', 0.5327), ('mix', 0.3388)]",0.7169352173805237,1,"however, a more diverse technology mix enables a lower cost (1 trillion less from now until 2050) and a more effective pathway to eu climate neutrality by 2050.",1,0.9890563488006592
emissions displaced eu,emissions shifting,emissions shifting,climate regulation,climate regulation,decrease,0.62773913,0.6533,"[('climate', 0.4273), ('eu', 0.4033), ('imports', 0.3403), ('displaced', 0.2127), ('looser', 0.178), ('countries carbon', 0.5831), ('eu jurisdictions', 0.4948), ('pricing regimes', 0.3984), ('competitors meaning', 0.2511), ('displaced', 0.2127), ('emissions displaced eu', 0.6533), ('jurisdictions looser climate', 0.5812), ('imports countries', 0.5061), ('regimes undercut', 0.3324), ('competitors meaning', 0.2511)]",0.7688999176025391,-1,"this is the danger that imports from countries without carbon pricing regimes undercut their european competitors, meaning that production, and the resulting carbon emissions, are displaced from the eu to jurisdictions with looser climate regimes.",-1,0.6277391314506531
high energy prices,high energy prices,high energy prices,climate regulation,climate regulation,increase,0.24706285,0.8328,"[('energy', 0.4309), ('prices', 0.3548), ('high', 0.2923), ('energy prices', 0.7164), ('high energy', 0.5701), ('energy', 0.4309), ('prices', 0.3548), ('high', 0.2923), ('high energy prices', 0.8328), ('high energy', 0.5701), ('energy', 0.4309), ('prices', 0.3548), ('high', 0.2923)]",0.7371259927749634,1,"excessive regulation and high energy prices contribute to second consecutive year of downturn 2024 has been a year of economic contraction for europe ' s technology industries, with a combined downturn of 4.",1,0.24706284701824188
climate crisis does,international climate cooperation,international climate cooperation,climate regulation,climate regulation,effect,0.6344458,0.6748,"[('climate', 0.5255), ('borders', 0.4457), ('comprehend', 0.2994), ('global', 0.2716), ('day', 0.1574), ('climate crisis', 0.6611), ('national borders', 0.5198), ('does comprehend', 0.2966), ('global', 0.2716), ('day', 0.1574), ('climate crisis does', 0.6748), ('comprehend national borders', 0.6285), ('does comprehend', 0.2966), ('global', 0.2716), ('day', 0.1574)]",0.7655641436576843,0.5,we already see the disastrous effects of global warming every day. the climate crisis does not comprehend national borders and thus the response must be united global action.,0,0
regional solution leveraged,regional climate solutions,regional climate solutions,climate regulation,climate regulation,decrease,0.5873278,0.7214,"[('regional', 0.4645), ('head', 0.3052), ('leveraged', 0.2604), ('unfair', 0.2403), ('start', 0.2386), ('regional solution', 0.6124), ('solution leveraged', 0.4326), ('unfair head', 0.4169), ('start', 0.2386), ('solution', 0.2221), ('regional solution leveraged', 0.7214), ('unfair head start', 0.5513), ('leveraged unfair', 0.4107), ('start', 0.2386), ('solution', 0.2221)]",0.7585625648498535,-1,"a regional solution leveraged through an unfair head start, however, might cause progress to falter where it is most needed in the global fight against climate change.",-1,0.587327778
regional solution leveraged,regional climate solutions,regional climate solutions,climate regulation,climate regulation,increase,0.689401,0.7214,"[('regional', 0.4645), ('head', 0.3052), ('leveraged', 0.2604), ('unfair', 0.2403), ('start', 0.2386), ('regional solution', 0.6124), ('solution leveraged', 0.4326), ('unfair head', 0.4169), ('start', 0.2386), ('solution', 0.2221), ('regional solution leveraged', 0.7214), ('unfair head start', 0.5513), ('leveraged unfair', 0.4107), ('start', 0.2386), ('solution', 0.2221)]",0.7668117880821228,1,"a regional solution leveraged through an unfair head start, however, might cause progress to falter where it is most needed in the global fight against climate change.",1,0.6894009709358215
carbon leakage hypothetical,resource shuffling,resource shuffling,climate regulation,climate regulation,decrease,0.35155502,0.6972,"[('leakage', 0.4185), ('climate', 0.3664), ('markets', 0.2836), ('compliance', 0.228), ('hypothetical', 0.1708), ('carbon leakage', 0.6612), ('climate policies', 0.4824), ('compliance costs', 0.2825), ('shift production', 0.2377), ('competing international', 0.2192), ('carbon leakage hypothetical', 0.6972), ('climate', 0.3664), ('competing international markets', 0.3621), ('compliance costs', 0.2825), ('stringent', 0.0616)]",0.7458157539367676,-1,carbon leakage is the hypothetical situation whereby european producers competing in international markets would shift their production and pollution to countries with less stringent or no climate policies to lower their compliance costs.,-1,0.3515550196170807
carbon leakage water,resource shuffling,resource shuffling,climate regulation,climate regulation,effect,0.84834665,0.7858,"[('carbon', 0.5428), ('scarcity', 0.5005), ('leakage', 0.4608), ('water', 0.3871), ('carbon leakage', 0.7449), ('water scarcity', 0.7212), ('carbon', 0.5428), ('leakage water', 0.4931), ('water', 0.3871), ('carbon leakage water', 0.7858), ('leakage water scarcity', 0.7627), ('carbon', 0.5428), ('scarcity', 0.5005), ('water', 0.3871)]",0.773809552,0.5,the future does not lie in decreasing productivity and shifting production as well as climate impacts (carbon leakage and water scarcity) to third countries with lower standards.,0,0
changes polish regulations,,regulatory pressure,climate regulation,climate regulation,decrease,0.13318805,0.9499,"[('poland', 0.6196), ('polish', 0.5878), ('regulations', 0.4861), ('changes', 0.3184), ('polish regulations', 0.8903), ('poland changes', 0.8124), ('polish', 0.5878), ('regulations', 0.4861), ('changes', 0.3184), ('changes polish regulations', 0.9499), ('poland changes', 0.8124), ('poland', 0.6196), ('regulations', 0.4861), ('changes', 0.3184)]",0.7146496772766113,-1,"regulatory environment regulatory environment in poland changes in polish regulations and their impact on the pgni g group in 2021, no major amendments were made to the act.",-1,0.13318805396556854
alternative fuels,alternative fuel penetration,alternative fuel penetration,decarbonization,decarbonization,increase,0.438957,0.7953,"[('fuels', 0.6995), ('hydrogen', 0.62), ('alternative', 0.3322), ('alternative fuels', 0.7953), ('fuels hydrogen', 0.7347), ('fuels', 0.6995), ('hydrogen', 0.62), ('alternative', 0.3322), ('alternative fuels', 0.7953), ('alternative fuels hydrogen', 0.7856), ('fuels', 0.6995), ('hydrogen', 0.62), ('alternative', 0.3322)]",0.7300891280174255,1,"canan outlined the means of cement industry decarbonization, including process control, process optimisation, the use of scms and alternative fuels and hydrogen.",1,0.43895700573921204
carbon abatement contract,carbon abatement contracts,carbon abatement contracts,decarbonization,decarbonization,effect,0.64517856,0.7561,"[('carbon', 0.447), ('exit', 0.4312), ('abatement', 0.4256), ('contract', 0.3732), ('window', 0.2514), ('carbon abatement', 0.6172), ('abatement contract', 0.5743), ('contract exit', 0.5236), ('exit window', 0.4519), ('contract', 0.3732), ('carbon abatement contract', 0.7561), ('abatement contract exit', 0.6697), ('exit window', 0.4519), ('abatement', 0.4256), ('contract', 0.3732)]",0.7020714282989502,0.5,"15 the details from down under australia & new zealand australia : compliance entity behaviour and the safeguard mechanism how will the australian market respond to the upcoming surrender period and what will happen to the accu prices ? what effect will the carbon abatement contract exit window have on prices as well as supply dynamics ? new zealand : under the new government how is the emissions trading scheme and the emissions reduction plan 2 going to address longer term issues in the ets and broader climate policy ? what are some of the key structural issues that need addressing to stabilise the market, what role for example will forestry play ? moderator lewis stevens, senior carbon market expert, icap panellists ollie batelier belton, managing director, carbon forest services raphael wood, principal at market advisory group, aurecon 10.",0,0
declining demand,decline in demand for European steel,decline in demand for European steel,decarbonization,decarbonization,decrease,0.5427913,1,"[('demand', 0.7866), ('declining', 0.6659), ('declining demand', 1.0), ('demand', 0.7866), ('declining', 0.6659), ('declining demand', 1.0), ('demand', 0.7866), ('declining', 0.6659)]",0.66989243,-1,"tata steel nederland calls for clear european conditions for a sustainable future of europe ' s industry by dagmar dieterle the steel industry is facing a perfect storm : decarbonisation, competitive pressure, imports from outside eu and declining demand are presenting companies with immense challenges.",-1,0.5427913069725037
countries ambitious climate,EU climate ambition,EU climate ambition,decarbonization,decarbonization,decrease,0.32023257,0.8498,"[('climate', 0.5947), ('countries', 0.5008), ('goals', 0.3846), ('ambitious', 0.3381), ('ambitious climate', 0.7288), ('climate goals', 0.7205), ('countries ambitious', 0.6725), ('countries', 0.5008), ('goals', 0.3846), ('countries ambitious climate', 0.8498), ('climate goals', 0.7205), ('countries', 0.5008), ('goals', 0.3846), ('ambitious', 0.3381)]",0.705594003,-1,"cbam will "" give us a tool to speed up the decarbonization of our industry, while protecting it from companies from countries with less ambitious climate goals "".",-1,0.3202325701713562
eu ambitious,EU climate ambition,EU climate ambition,decarbonization,decarbonization,increase,0.13371235,0.7671,"[('eu', 0.5546), ('ambitious', 0.4308), ('world', 0.2626), ('rest', 0.1113), ('eu ambitious', 0.7671), ('eu', 0.5546), ('ambitious', 0.4308), ('world', 0.2626), ('rest', 0.1113), ('eu ambitious', 0.7671), ('eu', 0.5546), ('ambitious rest world', 0.473), ('world', 0.2626), ('rest', 0.1113)]",0.6948587894439697,1,"at the same time, we realize that the eu is more ambitious than most of the rest of the world and this causes problems and that those problems may grow as the eu increases its ambitions if our trading partners do not follow suit.",1,0.13371235132217407
halted investments green,halted green investments,halted green investments,decarbonization,decarbonization,effect,0.99552345,0.7591,"[('investments', 0.4035), ('steel', 0.3079), ('halted', 0.298), ('projects', 0.2854), ('green', 0.2329), ('investments green', 0.6165), ('companies halted', 0.562), ('steel projects', 0.5123), ('green steel', 0.5106), ('companies', 0.3686), ('halted investments green', 0.7591), ('investments green steel', 0.7466), ('steel projects', 0.5123), ('companies', 0.3686), ('green', 0.2329)]",0.7323125004768372,0.5,"this undermines decarbonization, as several companies have halted investments in green steel projects.",0,0
high energy costs,high energy costs,high energy costs,decarbonization,decarbonization,decrease,0.4495313,0.7812,"[('regulatory', 0.5595), ('costs', 0.5392), ('energy', 0.4423), ('burden', 0.3718), ('high', 0.181), ('regulatory burden', 0.749), ('energy costs', 0.7271), ('costs', 0.5392), ('high energy', 0.4726), ('burden high', 0.4505), ('high energy costs', 0.7812), ('regulatory burden high', 0.7602), ('regulatory', 0.5595), ('burden', 0.3718), ('high', 0.181)]",0.6687260270118713,-1,"the decline can be attributed to a range of causes, including challenges related to regulatory burden and high energy costs.",-1,0.44953128695487976
transitioning sustainable practices,priortization of sustainable practices,priortization of sustainable practices,decarbonization,decarbonization,effect,0.19895883,0.9401,"[('sustainable', 0.5829), ('transitioning', 0.4859), ('practices', 0.4839), ('transitioning sustainable', 0.8281), ('sustainable practices', 0.7406), ('sustainable', 0.5829), ('transitioning', 0.4859), ('practices', 0.4839), ('transitioning sustainable practices', 0.9401), ('sustainable practices', 0.7406), ('sustainable', 0.5829), ('transitioning', 0.4859), ('practices', 0.4839)]",0.6733948588371277,0.5,our creation of a new decarbonization task force is indicative of our and the industry ' s commitment to transitioning to more sustainable practices.,0,0
affect economic conditions,reduced economic activity,reduced economic activity,decarbonization,decarbonization,decrease,0.6434608,1,"[('economic', 0.6143), ('conditions', 0.5219), ('affect', 0.4722), ('affect economic', 0.864), ('economic conditions', 0.8129), ('economic', 0.6143), ('conditions', 0.5219), ('affect', 0.4722), ('affect economic conditions', 1.0), ('economic conditions', 0.8129), ('economic', 0.6143), ('conditions', 0.5219), ('affect', 0.4722)]",0.7288302183151245,-1,"this could lead to a slowdown in business activity, reduce competitiveness and adversely affect economic conditions.",-1,0.6434608101844788
diversify options credits,regulatory certainty,regulatory certainty,decarbonization,decarbonization,increase,0.35550585,0.8454,"[('diversify', 0.6328), ('credits', 0.4811), ('industry', 0.349), ('options', 0.2299), ('industry diversify', 0.707), ('diversify options', 0.6681), ('options credits', 0.568), ('credits', 0.4811), ('industry', 0.349), ('diversify options credits', 0.8454), ('industry diversify', 0.707), ('credits', 0.4811), ('industry', 0.349), ('options', 0.2299)]",0.7200418710708618,1,"45-12 : 30 keynote panel : cbam and the industry : how to comply with the carbon curve ?-how does cbam work alongside the gradual phase out of free allowances within the eu ets ?-what are the expected effects on the competitiveness of eu based industries ?-turkey ' s cbam plan for 2024 to 2030 : what are the sector targets and carbon pricing measures ? hesham yehia sustainability director fertiglobe jonathan sims carbon market analyst triland metals 12 : 30-13 : 00 spotlight on eua trade : how does supply of allowances impact behaviour of different sectors ?-how have eua prices affected the industry ? what are the different tools for hedging ?-speculator behavior and impact on the industry : is there tangible movement in the market ?-derisking trade : to circumvent trade volatility, how can the industry diversify its options for credits ?-what challenges do companies face in adopting mrv ? what are some other tools ?-the role of speculators and other financial intermediaries stefan feuchtinger head of research & analysis, vertis environmental finance",1,0.3555058538913727
renewable based electrification,renewable based electrification,renewable based electrification,decarbonization,decarbonization,increase,0.18802232,1,"[('electrification', 0.7464), ('renewable', 0.6646), ('based', 0.1002), ('based electrification', 0.794), ('electrification', 0.7464), ('renewable based', 0.7108), ('renewable', 0.6646), ('based', 0.1002), ('renewable based electrification', 1.0), ('based electrification', 0.794), ('electrification', 0.7464), ('renewable', 0.6646), ('based', 0.1002)]",0.6986607313156128,1,"duttatreya das, an independent consultant and the report ' s lead author said : "" besides being one of the most promising levers for decarbonising industries, renewable based electrification offers multiple co benefits.",1,0.18802231550216675
sustainable refractory production,sustainable refractory production,sustainable refractory production,decarbonization,decarbonization,increase,0.102371134,0.6372,"[('co2', 0.5114), ('sustainable', 0.4949), ('decarbonization', 0.3226), ('rhi', 0.2699), ('pathway', 0.2178), ('reduce co2', 0.5423), ('transforming industry', 0.3895), ('decarbonization pathway', 0.3758), ('rhi magnesita', 0.3042), ('october 2024', 0.1649), ('sustainable refractory production', 0.6372), ('magnesita decarbonization pathway', 0.4129), ('forces reduce co2', 0.362), ('isr24', 0.1348), ('kd', 0.0914)]",0.6921821236610413,1,"energy reduce by 5 %? e s _ sustainable refractory production transforming the industry towards a greener future thomas prietl head of global r & d and innovation at rhi magnesita isr24, chengdu october 2024 kd content rhi magnesita at a glance rhi magnesita decarbonization pathway driving forces to reduce our co2 footprint",1,0.10237113386392593
systematic default value,systematic default value for CBAM,systematic default value for CBAM,decarbonization,decarbonization,increase,0.14260976,0.8441,"[('default', 0.4262), ('value', 0.4031), ('systematic', 0.3243), ('default value', 0.6842), ('systematic default', 0.6728), ('default', 0.4262), ('value', 0.4031), ('systematic', 0.3243), ('systematic default value', 0.8441), ('default value', 0.6842), ('default', 0.4262), ('value', 0.4031), ('systematic', 0.3243)]",0.6839295029640198,1,a systematic default value system would improve the cbam and safeguard the eu ets.,1,0.14260976016521454
strengthening connectivity,digital infrastructure,digital infrastructure,digitalisation,digitalisation,effect,0.63929796,0.89,"[('connectivity', 0.7089), ('strengthening', 0.5614), ('strengthening connectivity', 0.89), ('connectivity', 0.7089), ('strengthening', 0.5614), ('strengthening connectivity', 0.89), ('connectivity', 0.7089), ('strengthening', 0.5614)]",0.6092091202735901,0.5,3 strengthening connectivity 4.,0,0
digital product passport,digital product passport,digital product passport,digitalisation,digitalisation,increase,0.54233265,0.6432,"[('connectivity', 0.4656), ('passport', 0.3957), ('digital', 0.3476), ('product', 0.2299), ('strengthening', 0.0662), ('product passport', 0.5353), ('strengthening connectivity', 0.4906), ('digital', 0.3476), ('product', 0.2299), ('leveraging', 0.2197), ('digital product passport', 0.6432), ('leveraging digital product', 0.4979), ('strengthening connectivity leveraging', 0.4905), ('digital', 0.3476), ('product', 0.2299)]",0.6882810592651367,1,3 strengthening connectivity 4. 4 leveraging the digital product passport 4.,1,0.542332649
uptake digital technologies,digital technology uptake,digital technology uptake,digitalisation,digitalisation,effect,0.39895833,0.8304,"[('digital', 0.6262), ('technologies', 0.5791), ('uptake', 0.4567), ('enabling', 0.4123), ('digital technologies', 0.745), ('uptake digital', 0.6999), ('digital', 0.6262), ('enabling uptake', 0.5594), ('enabling', 0.4123), ('uptake digital technologies', 0.8304), ('digital', 0.6262), ('technologies', 0.5791), ('enabling uptake', 0.5594), ('enabling', 0.4123)]",0.7319625616073608,0.5,2 enabling the uptake of digital technologies 4.,0,0
high energy costs,high energy costs,high energy costs,digitalisation,digitalisation,decrease,0.8044154,0.7812,"[('regulatory', 0.5595), ('costs', 0.5392), ('energy', 0.4423), ('burden', 0.3718), ('high', 0.181), ('regulatory burden', 0.749), ('energy costs', 0.7271), ('costs', 0.5392), ('high energy', 0.4726), ('burden high', 0.4505), ('high energy costs', 0.7812), ('regulatory burden high', 0.7602), ('regulatory', 0.5595), ('burden', 0.3718), ('high', 0.181)]",0.6776843667030334,-1,"the decline can be attributed to a range of causes, including challenges related to regulatory burden and high energy costs.",-1,0.8044154047966003
isation electrification hydrogen,hydrogen-based electrification,hydrogen-based electrification,digitalisation,digitalisation,effect,0.29483625,0.9725,"[('electrification', 0.6984), ('hydrogen', 0.5893), ('isation', 0.2318), ('electrification hydrogen', 0.9379), ('isation electrification', 0.7844), ('electrification', 0.6984), ('hydrogen', 0.5893), ('isation', 0.2318), ('isation electrification hydrogen', 0.9725), ('electrification hydrogen', 0.9379), ('electrification', 0.6984), ('hydrogen', 0.5893), ('isation', 0.2318)]",0.4970158338546753,0.5,"close by continuing to browse this website, or closing this message, you agree to our use of cookies days hours mins secs watch the latest giles & pierre video contact us | members ' area about us | careers | contact us | members ' area home about wind policy newsroom events intelligence platform membership about wind wind energy today daily wind power numbers careers & skills learn wind wind basics campaigns wind energy and the environment wind energy and the economy wind supply chain map supply chain sustainability research & innovation history of wind policy position papers joint statements eu funded projects newsroom press releases news photos videos home events wind europe annual event 2025,8-10 april, copenhagen wind europe technology workshop 2025,19-20 june, istanbul wind europe eo lis 2025,20-21 november, lisbon intelligence platform statistics reports interactive data & maps infographics webinars membership members ' area login membership benefits meet our members national associations membership categories how to join faq members ' interviews search home / wind europe intelligence platform / search statistics reports interactive data & maps infographics webinars search by topic decommissioning & repowering digitalisation electrification & hydrogen finance & investments installations markets & regulation offshore & floating permitting & environmental impacts supply chain & competitiveness sustainability & recycling system integration & grids technology search results april 2025 revamping electricity bills for a competitive and secure europe reports april 2025 national policy and regulatory developments tool interactive tools march 2025 european innovation council calls 2025 webinars march 2025 annual wind turbine orders monitoring 2024 reports march 2025 offshore wind in europe-key trends and statistics 2024 webinars march 2025 wind turbine orders monitoring q4 2024 reports march 2025 offshore wind in europe-key trends and statistics 2024 reports march 2025 wind energy in europe : 2024 statistics and the outlook for 2025-2030 webinars february 2025 wind energy in europe : 2024 statistics and the outlook for 2025-2030 reports february 2025 investments in european manufacturing facilities reports february 2025 eu innovation fund webinars january 2025 supply chain map interactive tools october 2024 wind turbine orders monitoring q3 2024 reports october 2024 five megatrends in wind energy technology infographics october 2024 wind energy and raw material supply chains webinars october 2024 corporate power purchase agreements in europe interactive tools october 2024 the impact of the carbon border adjustment mechanism (cbam) on the european wind energy sector reports september 2024 overview of",0,0
isation electrification hydrogen,hydrogen-based electrification,hydrogen-based electrification,digitalisation,digitalisation,increase,0.81077164,0.9725,"[('electrification', 0.6984), ('hydrogen', 0.5893), ('isation', 0.2318), ('electrification hydrogen', 0.9379), ('isation electrification', 0.7844), ('electrification', 0.6984), ('hydrogen', 0.5893), ('isation', 0.2318), ('isation electrification hydrogen', 0.9725), ('electrification hydrogen', 0.9379), ('electrification', 0.6984), ('hydrogen', 0.5893), ('isation', 0.2318)]",0.5151227712631226,1,"close by continuing to browse this website, or closing this message, you agree to our use of cookies days hours mins secs watch the latest giles & pierre video contact us | members ' area about us | careers | contact us | members ' area home about wind policy newsroom events intelligence platform membership about wind wind energy today daily wind power numbers careers & skills learn wind wind basics campaigns wind energy and the environment wind energy and the economy wind supply chain map supply chain sustainability research & innovation history of wind policy position papers joint statements eu funded projects newsroom press releases news photos videos home events wind europe annual event 2025,8-10 april, copenhagen wind europe technology workshop 2025,19-20 june, istanbul wind europe eo lis 2025,20-21 november, lisbon intelligence platform statistics reports interactive data & maps infographics webinars membership members ' area login membership benefits meet our members national associations membership categories how to join faq members ' interviews search home / wind europe intelligence platform / search statistics reports interactive data & maps infographics webinars search by topic decommissioning & repowering digitalisation electrification & hydrogen finance & investments installations markets & regulation offshore & floating permitting & environmental impacts supply chain & competitiveness sustainability & recycling system integration & grids technology search results april 2025 revamping electricity bills for a competitive and secure europe reports april 2025 national policy and regulatory developments tool interactive tools march 2025 european innovation council calls 2025 webinars march 2025 annual wind turbine orders monitoring 2024 reports march 2025 offshore wind in europe-key trends and statistics 2024 webinars march 2025 wind turbine orders monitoring q4 2024 reports march 2025 offshore wind in europe-key trends and statistics 2024 reports march 2025 wind energy in europe : 2024 statistics and the outlook for 2025-2030 webinars february 2025 wind energy in europe : 2024 statistics and the outlook for 2025-2030 reports february 2025 investments in european manufacturing facilities reports february 2025 eu innovation fund webinars january 2025 supply chain map interactive tools october 2024 wind turbine orders monitoring q3 2024 reports october 2024 five megatrends in wind energy technology infographics october 2024 wind energy and raw material supply chains webinars october 2024 corporate power purchase agreements in europe interactive tools october 2024 the impact of the carbon border adjustment mechanism (cbam) on the european wind energy sector reports september 2024",1,0.810771644
negative counter reactions,negative market responses to CBAM,negative market responses to CBAM,digitalisation,digitalisation,effect,0.24340898,0.854,"[('reactions', 0.5207), ('negative', 0.3332), ('counter', 0.2997), ('states', 0.2676), ('affected', 0.2392), ('counter reactions', 0.6732), ('negative counter', 0.5902), ('reactions affected', 0.5824), ('affected states', 0.4875), ('negative', 0.3332), ('negative counter reactions', 0.854), ('reactions affected states', 0.7733), ('negative', 0.3332), ('states', 0.2676), ('affected', 0.2392)]",0.6205992698669434,0.5,"this includes, for example, negative counter reactions by affected states, regardless of whether the eu has de jure found a wto compliant measure.",0,0
closure fifth year,reduced economic activity,reduced economic activity,digitalisation,digitalisation,decrease,0.87727326,0.6545,"[('closure', 0.3782), ('fifth', 0.312), ('competitiveness', 0.2607), ('slowdown', 0.2133), ('adversely', 0.1454), ('period closure', 0.4918), ('fifth year', 0.4469), ('slowdown business', 0.4118), ('conditions', 0.2787), ('explained lead', 0.1227), ('closure fifth year', 0.6545), ('long conditions period', 0.4656), ('adversely affect economic', 0.3465), ('modified shortened explained', 0.2411), ('lead slowdown', 0.2288)]",0.7365127205848694,-1,"also, the period of closure until the fifth year is quite long. the conditions under which this period could be modified or shortened should be explained. this could lead to a slowdown in business activity, reduce competitiveness and adversely affect economic conditions.",-1,0.8772732615470886
reducing reporting burden,regulatory simplification,regulatory simplification,digitalisation,digitalisation,decrease,0.12327501,1,"[('reporting', 0.6875), ('burden', 0.4899), ('reducing', 0.399), ('reporting burden', 0.9151), ('reducing reporting', 0.8863), ('reporting', 0.6875), ('burden', 0.4899), ('reducing', 0.399), ('reducing reporting burden', 1.0), ('reducing reporting', 0.8863), ('reporting', 0.6875), ('burden', 0.4899), ('reducing', 0.399)]",0.6499068737030029,-1,2 reducing reporting burden 1.,-1,0.12327501177787781
